"","YEAR","STATE","STATEID","white","black","other","check","tot","other_alt","Pop"
"383",1985,"CA",6,31027,16954,2130,0,50111,2130,27102241
"384",1985,"CO",8,2624,705,40,0,3369,40,3237447
"385",1985,"CT",9,2210,2765,1174,0,6149,1174,3223737
"386",1985,"DC",11,172,6232,0,0,6404,0,638278
"387",1985,"DE",10,1107,1443,3,0,2553,3,627557
"388",1985,"FE",99,26123,13066,1034,0,40223,1034,NA
"389",1985,"FL",12,14330,14142,128,0,28600,128,11667504
"390",1985,"GA",13,6483,9531,0,0,16014,0,6084660
"391",1985,"HI",15,504,102,1505,0,2111,1505,1051759
"392",1985,"IA",19,2177,568,87,0,2832,87,2791966
"393",1985,"ID",16,1258,32,54,0,1344,54,990226
"394",1985,"IL",17,6052,11132,1450,0,18634,1450,11387258
"395",1985,"IN",18,6433,3464,7,0,9904,7,5454114
"396",1985,"KS",20,2975,1678,79,0,4732,79,2432616
"397",1985,"KY",21,3382,1592,1,0,4975,1,3687813
"398",1985,"LA",22,3858,10032,0,0,13890,0,4406918
"399",1985,"MA",25,3527,1849,14,0,5390,14,5902682
"400",1985,"MD",24,3609,9370,26,0,13005,26,4486957
"401",1985,"ME",23,1193,15,18,0,1226,18,1170121
"402",1985,"MI",26,7332,10076,347,0,17755,347,9127776
"403",1985,"MN",27,1563,502,278,0,2343,278,4205208
"404",1985,"MO",29,5878,3918,0,0,9796,0,5023068
"405",1985,"MS",28,1940,4324,128,0,6392,128,2593596
"406",1985,"MT",30,889,16,224,0,1129,224,813748
"407",1985,"NC",37,7591,9341,412,0,17344,412,6321582
"408",1985,"ND",38,344,5,73,0,422,73,669489
"409",1985,"NE",31,1173,553,88,0,1814,88,1574336
"410",1985,"NH",33,669,14,0,0,683,0,1025055
"411",1985,"NJ",34,3841,7483,11,0,11335,11,7622150
"412",1985,"NM",35,1935,239,139,0,2313,139,1462727
"413",1985,"NV",32,2236,1240,295,0,3771,295,980653
"414",1985,"NY",36,17032,17497,183,0,34712,183,17833419
"415",1985,"OH",39,10986,9553,325,0,20864,325,10730268
"416",1985,"OK",40,5259,2434,637,0,8330,637,3252731
"417",1985,"OR",41,3718,503,233,0,4454,233,2683531
"418",1985,"PA",42,6184,8035,8,0,14227,8,11782745
"419",1985,"RI",44,926,378,3,0,1307,3,977343
"420",1985,"SC",45,4159,6326,25,0,10510,25,3342769
"421",1985,"SD",46,785,22,240,0,1047,240,695980
"422",1985,"ST",60,234724,214071,13358,0,462153,13358,NA
"423",1985,"TN",47,3904,3153,70,0,7127,70,4738713
"424",1985,"TX",48,21961,15548,23,0,37532,23,16561112
"425",1985,"US",70,260847,227137,14392,0,502376,14392,240132841
"426",1985,"UT",49,1437,149,47,0,1633,47,1662838
"427",1985,"VA",51,4914,7111,48,0,12073,48,5811691
"428",1985,"VT",50,0,0,677,0,677,677,534055
"429",1985,"WA",53,4863,1273,773,0,6909,773,4452722
"430",1985,"WI",55,3224,2072,146,0,5442,146,4755625
"431",1985,"WV",54,1465,260,0,0,1725,0,1882350
"432",1985,"WY",56,690,36,32,0,758,32,495624
"433",1986,"AK",2,1378,221,861,0,2460,861,539310
"434",1986,"AL",1,4649,7044,17,0,11710,17,4015257
"435",1986,"AR",5,2365,2334,2,0,4701,2,2342359
"436",1986,"AZ",4,7526,1547,361,0,9434,361,3437102
"437",1986,"CA",6,36318,20531,2635,0,59484,2635,27777153
"438",1986,"CO",8,2915,843,46,0,3804,46,3260478
"439",1986,"CT",9,2387,3084,1434,0,6905,1434,3247291
"440",1986,"DC",11,138,6480,0,0,6618,0,636934
"441",1986,"DE",10,1170,1649,4,0,2823,4,636957
"442",1986,"FE",99,29395,13864,1149,0,44408,1149,NA
"443",1986,"FL",12,15802,16435,0,0,32237,0,11997290
"444",1986,"GA",13,6934,10429,0,0,17363,0,6208470
"445",1986,"HI",15,564,112,1504,0,2180,1504,1067911
"446",1986,"IA",19,2154,550,73,0,2777,73,2767005
"447",1986,"ID",16,1360,32,56,0,1448,56,985004
"448",1986,"IL",17,6360,11577,1519,0,19456,1519,11391176
"449",1986,"IN",18,6757,3409,9,0,10175,9,5473009
"450",1986,"KS",20,3446,1819,80,0,5345,80,2445387
"451",1986,"KY",21,3554,1733,1,0,5288,1,3683325
"452",1986,"LA",22,3972,10328,0,0,14300,0,4344129
"453",1986,"MA",25,3456,1811,369,0,5636,369,5935209
"454",1986,"MD",24,3665,9637,24,0,13326,24,4565578
"455",1986,"ME",23,1297,11,8,0,1316,8,1184570
"456",1986,"MI",26,8530,11870,342,0,20742,342,9187485
"457",1986,"MN",27,1601,538,323,0,2462,323,4235140
"458",1986,"MO",29,6186,4123,0,0,10309,0,5056695
"459",1986,"MS",28,1983,4623,141,0,6747,141,2588539
