"","YEAR","STATEID","STATE","REGION","state_name","Population","WHITE","BLACK","HISP","AIAN","ASIAN","NHPI","API","TWORACE","ADDRACE","UNKRACE","TOTRACE","NOTHISP","UNKHISP","TOTHCAT","gender"
"178",1981,19,"IA",2,"Iowa",2888190,2062,455,38,39,NA,NA,0,NA,NA,0,2556,2518,0,NA,"M"
"179",1981,20,"KS",2,"Kansas",2401211,1694,882,91,45,NA,NA,4,NA,NA,0,2625,2534,0,NA,"M"
"180",1981,21,"KY",3,"Kentucky",3683437,2928,1139,0,0,NA,NA,0,NA,NA,0,4067,4067,0,NA,"M"
"181",1981,22,"LA",3,"Louisiana",4352610,2540,6529,10,2,NA,NA,0,NA,NA,0,9071,9061,0,NA,"M"
"182",1981,23,"ME",1,"Maine",1136684,942,14,0,10,NA,NA,0,NA,NA,0,966,966,0,NA,"M"
"183",1981,24,"MD",3,"Maryland",4282917,2492,6527,NA,9,NA,NA,0,NA,NA,3,9031,NA,9031,NA,"M"
"184",1981,25,"MA",1,"Massachusetts",5771226,2425,1264,193,3,NA,NA,5,NA,NA,0,3697,3504,0,NA,"M"
"185",1981,26,"MI",2,"Michigan",9115202,5639,8070,205,73,NA,NA,1,NA,NA,744,14527,13783,539,NA,"M"
"186",1981,27,"MN",2,"Minnesota",4131444,1372,407,57,159,NA,NA,2,NA,NA,28,1968,1911,0,NA,"M"
"187",1981,28,"MS",3,"Mississippi",2556768,1216,2736,6,4,NA,NA,0,NA,NA,519,4475,3950,519,NA,"M"
"188",1981,29,"MO",2,"Missouri",4929442,3359,2865,NA,0,NA,NA,0,NA,NA,0,6224,NA,6224,NA,"M"
"189",1981,30,"MT",4,"Montana",803990,620,21,17,166,NA,NA,0,NA,NA,0,807,790,0,NA,"M"
"190",1981,31,"NE",2,"Nebraska",1581786,998,509,42,82,NA,NA,0,NA,NA,0,1589,1547,0,NA,"M"
"191",1981,32,"NV",4,"Nevada",881545,1445,547,72,13,NA,NA,25,NA,NA,0,2030,1958,0,NA,"M"
"192",1981,33,"NH",1,"New Hampshire",947717,383,5,4,3,NA,NA,0,NA,NA,0,391,387,0,NA,"M"
"193",1981,34,"NJ",1,"New Jersey",7430968,2458,4267,733,0,NA,NA,0,NA,NA,0,6725,5992,0,NA,"M"
"194",1981,35,"NM",4,"New Mexico",1363794,1196,157,726,53,NA,NA,1,NA,NA,0,1407,681,0,NA,"M"
"195",1981,36,"NY",1,"New York",17589746,11620,12961,4991,0,NA,NA,0,NA,NA,249,24830,19839,0,NA,"M"
"196",1981,37,"NC",3,"North Carolina",6019141,6738,8052,0,322,NA,NA,3,NA,NA,40,15155,15115,40,NA,"M"
"197",1981,38,"ND",2,"North Dakota",668969,227,2,0,48,NA,NA,0,NA,NA,0,277,277,0,NA,"M"
"198",1981,39,"OH",2,"Ohio",10757088,7421,6784,104,0,NA,NA,0,NA,NA,0,14205,13967,134,NA,"M"
"199",1981,40,"OK",3,"Oklahoma",3206124,3250,1380,66,289,NA,NA,1,NA,NA,86,5006,4940,0,NA,"M"
"200",1981,41,"OR",4,"Oregon",2664922,2758,319,113,86,NA,NA,0,NA,NA,29,3192,3079,0,NA,"M"
"201",1981,42,"PA",1,"Pennsylvania",11845148,4119,4927,NA,3,NA,NA,4,NA,NA,0,9053,NA,9053,NA,"M"
"202",1981,44,"RI",1,"Rhode Island",954176,696,239,37,0,NA,NA,2,NA,NA,0,937,900,0,NA,"M"
"203",1981,45,"SC",3,"South Carolina",3207618,3398,4771,NA,8,NA,NA,0,NA,NA,0,8177,NA,8177,NA,"M"
"204",1981,46,"SD",2,"South Dakota",690615,495,14,5,155,NA,NA,0,NA,NA,0,664,659,0,NA,"M"
