"","YEAR","STATEID","STATE","REGION","state_name","Population","DTHEXECM","DTHEXECF","DTHILLNM","DTHILLNF","DTHAIDSM","DTHAIDSF","DTHSUICM","DTHSUICF","DTHACCM","DTHACCF","DTHHOMIM","DTHHOMIF","DTHHOMOM","DTHHOMOF","DTHPERSM","DTHPERSF","DTHOTHM","DTHOTHF","DTHTOTM","DTHTOTF"
"113",1980,6,"CA",4,"California",24285937,0,0,22,1,NA,NA,11,0,0,0,NA,NA,NA,NA,13,0,0,0,NA,NA
"114",1980,8,"CO",4,"Colorado",2977895,0,0,0,0,NA,NA,3,0,2,0,NA,NA,NA,NA,3,0,0,0,NA,NA
"115",1980,9,"CT",1,"Connecticut",3128839,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"116",1980,10,"DE",3,"Delaware",595971,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"117",1980,11,"DC",3,"District of Columbia",636894,NA,NA,8,0,NA,NA,0,0,2,0,NA,NA,NA,NA,3,0,0,0,NA,NA
"118",1980,12,"FL",3,"Florida",10192778,0,0,30,0,NA,NA,14,1,5,0,NA,NA,NA,NA,8,0,0,0,NA,NA
"119",1980,13,"GA",3,"Georgia",5568343,0,0,17,2,NA,NA,2,0,7,0,NA,NA,NA,NA,4,0,4,0,NA,NA
"120",1980,15,"HI",4,"Hawaii",978174,NA,NA,0,0,NA,NA,1,0,0,0,NA,NA,NA,NA,3,0,0,0,NA,NA
"121",1980,16,"ID",4,"Idaho",962203,0,0,3,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"122",1980,17,"IL",2,"Illinois",11443461,0,0,64,2,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"123",1980,18,"IN",2,"Indiana",5480425,0,0,6,1,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"124",1980,19,"IA",2,"Iowa",2907975,NA,NA,1,0,NA,NA,0,0,0,0,NA,NA,NA,NA,2,0,0,0,NA,NA
"125",1980,20,"KS",2,"Kansas",2384859,NA,NA,3,0,NA,NA,1,0,0,0,NA,NA,NA,NA,2,0,0,0,NA,NA
"126",1980,21,"KY",3,"Kentucky",3670385,0,0,2,0,NA,NA,1,0,0,0,NA,NA,NA,NA,3,0,0,0,NA,NA
"127",1980,22,"LA",3,"Louisiana",4283298,0,0,2,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,4,0,NA,NA
"128",1980,23,"ME",1,"Maine",1133021,NA,NA,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,2,0,NA,NA
"129",1980,24,"MD",3,"Maryland",4261908,0,0,9,0,NA,NA,6,0,4,0,NA,NA,NA,NA,4,0,0,0,NA,NA
"130",1980,25,"MA",1,"Massachusetts",5768683,NA,NA,5,0,NA,NA,1,0,1,0,NA,NA,NA,NA,6,0,0,0,NA,NA
"131",1980,26,"MI",2,"Michigan",9209284,NA,NA,0,0,NA,NA,2,0,0,0,NA,NA,NA,NA,5,0,0,0,NA,NA
"132",1980,27,"MN",2,"Minnesota",4111674,NA,NA,2,0,NA,NA,2,0,2,0,NA,NA,NA,NA,3,0,0,0,NA,NA
"133",1980,28,"MS",3,"Mississippi",2539051,0,0,4,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"134",1980,29,"MO",2,"Missouri",4932079,0,0,17,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"135",1980,30,"MT",4,"Montana",795317,0,0,3,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"136",1980,31,"NE",2,"Nebraska",1578528,0,0,2,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"137",1980,32,"NV",4,"Nevada",847639,0,0,1,0,NA,NA,3,0,0,0,NA,NA,NA,NA,1,0,0,0,NA,NA
"138",1980,33,"NH",1,"New Hampshire",936644,NA,NA,0,0,NA,NA,0,0,0,1,NA,NA,NA,NA,0,0,0,0,NA,NA
"139",1980,34,"NJ",1,"New Jersey",7407475,NA,NA,5,0,NA,NA,1,0,0,0,NA,NA,NA,NA,0,0,1,0,NA,NA
"140",1980,35,"NM",4,"New Mexico",1332709,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,39,0,0,0,NA,NA
"141",1980,36,"NY",1,"New York",17567729,NA,NA,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,40,0,NA,NA
"142",1980,37,"NC",3,"North Carolina",5956661,0,0,20,1,NA,NA,2,0,2,0,NA,NA,NA,NA,2,0,0,0,NA,NA
"143",1980,38,"ND",2,"North Dakota",659524,NA,NA,0,0,NA,NA,2,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"144",1980,39,"OH",2,"Ohio",10788324,0,0,23,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"145",1980,40,"OK",3,"Oklahoma",3096157,0,0,4,0,NA,NA,2,0,2,0,NA,NA,NA,NA,3,0,0,0,NA,NA
"146",1980,41,"OR",4,"Oregon",2667984,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,4,0,NA,NA
"147",1980,42,"PA",1,"Pennsylvania",11858571,0,0,17,0,NA,NA,4,0,0,0,NA,NA,NA,NA,0,1,0,0,NA,NA
"148",1980,44,"RI",1,"Rhode Island",953007,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"149",1980,45,"SC",3,"South Carolina",3179235,0,0,7,1,NA,NA,3,0,2,0,NA,NA,NA,NA,1,0,0,0,NA,NA
"150",1980,46,"SD",2,"South Dakota",689569,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"151",1980,47,"TN",3,"Tennessee",4627667,0,0,5,0,NA,NA,2,0,0,0,NA,NA,NA,NA,6,0,4,0,NA,NA
"152",1980,48,"TX",3,"Texas",14746313,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,50,1,NA,NA
"153",1980,49,"UT",4,"Utah",1515469,0,0,0,0,NA,NA,1,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"154",1980,50,"VT",1,"Vermont",515605,NA,NA,0,0,NA,NA,1,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"155",1980,51,"VA",3,"Virginia",5444106,0,0,1,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,17,0,NA,NA
"156",1980,53,"WA",4,"Washington",4235731,0,0,4,0,NA,NA,6,0,0,0,NA,NA,NA,NA,4,0,0,0,NA,NA
"157",1980,54,"WV",3,"West Virginia",1954115,NA,NA,2,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"158",1980,55,"WI",2,"Wisconsin",4726336,NA,NA,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,6,0,NA,NA
"159",1980,56,"WY",4,"Wyoming",491715,0,0,0,0,NA,NA,1,0,0,0,NA,NA,NA,NA,1,0,0,0,NA,NA
"160",1980,60,"ST",7,"State prison total",NA,0,0,302,8,NA,NA,74,1,29,1,NA,NA,NA,NA,119,1,150,2,NA,NA
"161",1980,70,"US",5,"US prison total (state+federal)",NA,0,0,328,8,NA,NA,79,1,29,1,NA,NA,NA,NA,126,1,152,2,NA,NA
"162",1980,99,"FE",6,"Federal BOP",NA,0,0,26,0,NA,NA,5,0,0,0,NA,NA,NA,NA,7,0,2,0,NA,NA
"163",1981,1,"AL",3,"Alabama",3925229,0,0,12,1,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"164",1981,2,"AK",4,"Alaska",449611,NA,NA,1,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"165",1981,4,"AZ",4,"Arizona",2889865,0,0,3,0,NA,NA,1,0,0,0,NA,NA,NA,NA,2,0,0,0,NA,NA
"166",1981,5,"AR",3,"Arkansas",2294262,0,0,2,0,NA,NA,0,0,3,0,NA,NA,NA,NA,2,0,2,0,NA,NA
"167",1981,6,"CA",4,"California",24820007,0,0,21,2,NA,NA,12,0,0,0,NA,NA,NA,NA,16,0,0,0,NA,NA
"168",1981,8,"CO",4,"Colorado",3061569,0,0,3,0,NA,NA,1,0,1,0,NA,NA,NA,NA,2,0,3,0,NA,NA
"169",1981,9,"CT",1,"Connecticut",3139012,0,0,1,0,NA,NA,2,0,1,0,NA,NA,NA,NA,8,0,7,1,NA,NA
"170",1981,10,"DE",3,"Delaware",599136,0,0,1,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"171",1981,11,"DC",3,"District of Columbia",634171,NA,NA,12,0,NA,NA,0,0,1,1,NA,NA,NA,NA,2,0,0,0,NA,NA
"172",1981,12,"FL",3,"Florida",10471407,0,0,29,0,NA,NA,3,1,2,0,NA,NA,NA,NA,4,0,0,0,NA,NA
"173",1981,13,"GA",3,"Georgia",5649793,0,0,10,0,NA,NA,1,0,1,0,NA,NA,NA,NA,3,0,0,0,NA,NA
"174",1981,15,"HI",4,"Hawaii",993802,NA,NA,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"175",1981,16,"ID",4,"Idaho",973729,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,3,0,NA,NA
"176",1981,17,"IL",2,"Illinois",11423414,0,0,7,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"177",1981,18,"IN",2,"Indiana",5467927,1,0,18,0,NA,NA,0,0,0,0,NA,NA,NA,NA,3,0,0,0,NA,NA
"178",1981,19,"IA",2,"Iowa",2888190,NA,NA,2,0,NA,NA,1,0,0,0,NA,NA,NA,NA,2,0,0,0,NA,NA
"179",1981,20,"KS",2,"Kansas",2401211,NA,NA,3,0,NA,NA,0,0,0,0,NA,NA,NA,NA,3,0,0,0,NA,NA
"180",1981,21,"KY",3,"Kentucky",3683437,0,0,4,0,NA,NA,1,0,0,0,NA,NA,NA,NA,3,0,0,0,NA,NA
"181",1981,22,"LA",3,"Louisiana",4352610,0,0,13,0,NA,NA,0,0,0,0,NA,NA,NA,NA,1,0,0,0,NA,NA
