"","YEAR","STATE","REGION","state_name","Population","JURTOT","PVIN","PVOTH","PVINCL","LF","LFINCL","LFCROWD","LFCRINC","FED","OTHST","FACINCL","FACROWD","gender"
"115",1980,"CT",1,"Connecticut",3128839,4102,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"116",1980,"DE",3,"Delaware",595971,1417,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"117",1980,"DC",3,"District of Columbia",636894,3075,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"118",1980,"FL",3,"Florida",10192778,19896,NA,NA,NA,NA,NA,273,NA,NA,NA,NA,NA,"M"
"119",1980,"GA",3,"Georgia",5568343,11610,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"120",1980,"HI",4,"Hawaii",978174,954,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"121",1980,"ID",4,"Idaho",962203,792,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"122",1980,"IL",2,"Illinois",11443461,11553,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"123",1980,"IN",2,"Indiana",5480425,6442,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"124",1980,"IA",2,"Iowa",2907975,2388,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"125",1980,"KS",2,"Kansas",2384859,2381,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"126",1980,"KY",3,"Kentucky",3670385,3463,NA,NA,NA,NA,NA,94,NA,NA,NA,NA,NA,"M"
"127",1980,"LA",3,"Louisiana",4283298,8586,NA,NA,NA,NA,NA,1267,NA,NA,NA,NA,NA,"M"
"128",1980,"ME",1,"Maine",1133021,793,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,"M"
"129",1980,"MD",3,"Maryland",4261908,7502,NA,NA,NA,NA,NA,277,NA,NA,NA,NA,NA,"M"
"130",1980,"MA",1,"Massachusetts",5768683,3079,NA,NA,NA,NA,NA,125,NA,NA,NA,NA,NA,"M"
"131",1980,"MI",2,"Michigan",9209284,14490,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,"M"
"132",1980,"MN",2,"Minnesota",4111674,1936,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"133",1980,"MS",3,"Mississippi",2539051,3785,NA,NA,NA,NA,NA,1226,NA,NA,NA,NA,NA,"M"
"134",1980,"MO",2,"Missouri",4932079,5490,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"135",1980,"MT",4,"Montana",795317,714,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"136",1980,"NE",2,"Nebraska",1578528,1390,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"137",1980,"NV",4,"Nevada",847639,1739,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"138",1980,"NH",1,"New Hampshire",936644,321,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"139",1980,"NJ",1,"New Jersey",7407475,5686,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,"M"
"140",1980,"NM",4,"New Mexico",1332709,1222,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,"M"
