"","YEAR","STATE","REGION","state_name","Population","ADDRACE","AIAN","API","ASIAN","BLACK","HISP","NHPI","NOTHISP","TOTHCAT","TOTRACE","TWORACE","UNKHISP","UNKRACE","WHITE"
"126",1980,"KY",3,"Kentucky",3670385,0,0,0,0,1011,1,0,3607,0,3608,0,0,0,2597
"127",1980,"LA",3,"Louisiana",4283298,0,0,0,0,6388,8,0,8881,0,8889,0,0,0,2501
"128",1980,"ME",1,"Maine",1133021,0,12,0,0,9,0,0,829,0,829,0,0,0,808
"129",1980,"MD",3,"Maryland",4261908,0,12,0,0,5908,0,0,0,0,7731,0,7731,18,1793
"130",1980,"MA",1,"Massachusetts",5768683,0,2,4,0,1171,125,0,3143,0,3268,0,0,0,2091
"131",1980,"MI",2,"Michigan",9209284,0,59,1,0,7803,204,0,13110,0,15124,0,1810,2029,5232
"132",1980,"MN",2,"Minnesota",4111674,0,158,0,0,376,29,0,1972,0,2001,0,0,20,1447
"133",1980,"MS",3,"Mississippi",2539051,0,3,1,0,1835,2,0,2754,0,3374,0,618,620,915
"134",1980,"MO",2,"Missouri",4932079,0,0,0,0,2816,0,0,0,0,5524,0,5524,0,2708
"135",1980,"MT",4,"Montana",795317,0,144,2,0,14,17,0,721,0,738,0,0,17,561
"136",1980,"NE",2,"Nebraska",1578528,0,44,1,0,430,37,0,1409,0,1446,0,0,0,971
"137",1980,"NV",4,"Nevada",847639,0,21,12,0,545,52,0,1787,0,1839,0,0,0,1261
"138",1980,"NH",1,"New Hampshire",936644,0,3,6,0,7,1,0,325,0,326,0,0,0,310
"139",1980,"NJ",1,"New Jersey",7407475,0,0,0,0,3734,462,0,5422,0,5884,0,0,0,2150
"140",1980,"NM",4,"New Mexico",1332709,0,32,0,0,154,814,0,633,0,1461,0,14,14,1261
"141",1980,"NY",1,"New York",17567729,0,0,0,0,11414,4203,0,17626,0,21829,0,0,212,10203
"142",1980,"NC",3,"North Carolina",5956661,0,364,3,0,8217,0,0,15338,0,15382,0,44,44,6754
"143",1980,"ND",2,"North Dakota",659524,0,42,0,0,1,6,0,247,0,253,0,0,0,210
"144",1980,"OH",2,"Ohio",10788324,0,0,0,0,6613,83,0,13233,0,13489,0,173,0,6876
"145",1980,"OK",3,"Oklahoma",3096157,0,261,1,0,1302,69,0,4502,0,4571,0,0,4,3003
"146",1980,"OR",4,"Oregon",2667984,0,126,0,0,356,99,0,3071,0,3170,0,0,32,2656
"147",1980,"PA",1,"Pennsylvania",11858571,0,3,4,0,4450,0,0,0,0,8182,0,8182,0,3725
"148",1980,"RI",1,"Rhode Island",953007,0,0,3,0,199,29,0,785,0,814,0,0,0,612
"149",1980,"SC",3,"South Carolina",3179235,0,9,0,0,4585,0,0,0,0,7862,0,7862,5,3263
"150",1980,"SD",2,"South Dakota",689569,0,166,0,0,15,6,0,629,0,635,0,0,0,454
"151",1980,"TN",3,"Tennessee",4627667,0,0,0,0,3144,0,0,0,0,7022,0,7022,0,3878
"152",1980,"TX",3,"Texas",14746313,0,0,0,0,12840,5527,0,24365,0,29892,0,0,0,17052
"153",1980,"UT",4,"Utah",1515469,0,15,2,0,87,157,0,775,0,932,0,0,0,828
"154",1980,"VT",1,"Vermont",515605,0,1,0,0,3,0,0,480,0,480,0,0,0,476
"155",1980,"VA",3,"Virginia",5444106,0,0,0,0,5021,0,0,0,0,8920,0,8920,407,3492
"156",1980,"WA",4,"Washington",4235731,0,171,40,0,902,191,0,4191,0,4382,0,0,2,3267
"157",1980,"WV",3,"West Virginia",1954115,0,1,0,0,188,0,0,1257,0,1257,0,0,0,1068
"158",1980,"WI",2,"Wisconsin",4726336,0,123,4,0,1553,158,0,3820,0,3980,0,2,1,2299
"159",1980,"WY",4,"Wyoming",491715,0,47,2,0,23,77,0,457,0,534,0,0,0,462
"160",1980,"ST",7,"State prison total",NA,0,2626,731,0,141879,21790,0,195566,0,304332,0,86976,4261,154835
"161",1980,"US",5,"US prison total (state+federal)",NA,0,3011,842,0,150249,25246,0,215440,0,328695,0,88009,5319,169274
"162",1980,"FE",6,"Federal BOP",NA,0,385,111,0,8370,3456,0,19874,0,24363,0,1033,1058,14439
"163",1981,"AL",3,"Alabama",3925229,0,5,0,0,4718,1,0,7656,0,7657,0,0,1,2933
"164",1981,"AK",4,"Alaska",449611,0,313,0,0,139,0,0,0,0,1019,0,1019,34,533
"165",1981,"AZ",4,"Arizona",2889865,0,168,9,0,1009,1245,0,3966,0,5223,0,12,40,3997
"166",1981,"AR",3,"Arkansas",2294262,0,0,0,0,1632,0,0,3328,0,3328,0,0,0,1696
"167",1981,"CA",4,"California",24820007,0,219,165,0,10270,7237,0,21965,0,29202,0,0,97,18451
"168",1981,"CO",4,"Colorado",3061569,0,26,6,0,579,696,0,2076,0,2772,0,0,0,2161
"169",1981,"CT",1,"Connecticut",3139012,0,5,0,0,2105,675,0,3972,0,4647,0,0,0,2537
"170",1981,"DE",3,"Delaware",599136,0,0,0,0,1021,20,0,0,0,1712,0,1692,0,691
"171",1981,"DC",3,"District of Columbia",634171,0,0,0,0,3376,0,0,0,0,3479,0,3479,0,103
"172",1981,"FL",3,"Florida",10471407,0,3,4,0,11351,323,0,23266,0,23589,0,0,57,12174
"173",1981,"GA",3,"Georgia",5649793,0,2,0,0,7313,3,0,0,0,12444,0,12441,6,5123
"174",1981,"HI",4,"Hawaii",993802,0,11,773,0,44,0,0,1207,0,1207,0,0,99,280
"175",1981,"ID",4,"Idaho",973729,0,33,2,0,26,96,0,861,0,957,0,0,0,896
"176",1981,"IL",2,"Illinois",11423414,0,31,6,0,8217,547,0,12659,0,13206,0,0,0,4952
"177",1981,"IN",2,"Indiana",5467927,0,5,1,0,2795,70,0,7952,0,8022,0,0,0,5221
"178",1981,"IA",2,"Iowa",2888190,0,42,0,0,490,38,0,2632,0,2670,0,0,0,2138
"179",1981,"KS",2,"Kansas",2401211,0,48,4,0,934,93,0,2677,0,2770,0,0,0,1784
"180",1981,"KY",3,"Kentucky",3683437,0,0,0,0,1171,0,0,4167,0,4167,0,0,0,2996
"181",1981,"LA",3,"Louisiana",4352610,0,2,0,0,6763,10,0,9405,0,9415,0,0,0,2650
"182",1981,"ME",1,"Maine",1136684,0,11,0,0,15,0,0,992,0,992,0,0,0,966
"183",1981,"MD",3,"Maryland",4282917,0,10,0,0,6761,0,0,0,0,9335,0,9335,4,2560
"184",1981,"MA",1,"Massachusetts",5771226,0,3,6,0,1329,201,0,3688,0,3889,0,0,0,2551
"185",1981,"MI",2,"Michigan",9115202,0,75,1,0,8515,209,0,14409,0,15157,0,539,748,5818
"186",1981,"MN",2,"Minnesota",4131444,0,165,2,0,421,57,0,1967,0,2024,0,0,28,1408
"187",1981,"MS",3,"Mississippi",2556768,0,4,1,0,2829,7,0,4085,0,4624,0,532,532,1258
"188",1981,"MO",2,"Missouri",4929442,0,0,0,0,2974,0,0,0,0,6489,0,6489,0,3515
"189",1981,"MT",4,"Montana",803990,0,168,0,0,21,17,0,812,0,831,0,2,0,642
"190",1981,"NE",2,"Nebraska",1581786,0,83,1,0,533,43,0,1610,0,1653,0,0,0,1036
"191",1981,"NV",4,"Nevada",881545,0,16,28,0,591,76,0,2040,0,2116,0,0,0,1481
"192",1981,"NH",1,"New Hampshire",947717,0,3,0,0,5,4,0,394,0,398,0,0,0,390
"193",1981,"NJ",1,"New Jersey",7430968,0,0,0,0,4455,739,0,6272,0,7011,0,0,0,2556
"194",1981,"NM",4,"New Mexico",1363794,0,55,1,0,160,758,0,707,0,1497,0,32,32,1249
"195",1981,"NY",1,"New York",17589746,0,0,0,0,13407,5102,0,20497,0,25599,0,0,251,11941
"196",1981,"NC",3,"North Carolina",6019141,0,341,4,0,8380,0,0,15750,0,15791,0,41,41,7025
"197",1981,"ND",2,"North Dakota",668969,0,48,0,0,2,0,0,280,0,280,0,0,0,230
"198",1981,"OH",2,"Ohio",10757088,0,0,0,0,7229,111,0,14685,0,14968,0,172,0,7739
"199",1981,"OK",3,"Oklahoma",3206124,0,305,1,0,1482,66,0,5215,0,5281,0,0,86,3407
"200",1981,"OR",4,"Oregon",2664922,0,93,0,0,340,114,0,3181,0,3295,0,0,32,2830
"201",1981,"PA",1,"Pennsylvania",11845148,0,3,5,0,5088,0,0,0,0,9365,0,9365,0,4269
"202",1981,"RI",1,"Rhode Island",954176,0,0,2,0,246,38,0,924,0,962,0,0,0,714
"203",1981,"SC",3,"South Carolina",3207618,0,8,0,0,4972,0,0,0,0,8538,0,8538,0,3558
"204",1981,"SD",2,"South Dakota",690615,0,167,0,0,14,5,0,688,0,693,0,0,0,512
"205",1981,"TN",3,"Tennessee",4646043,0,0,0,0,3346,0,0,0,0,7897,0,7897,0,4551
"206",1981,"TX",3,"Texas",15331410,0,2,0,0,13732,5722,0,25780,0,31502,0,0,0,17768
"207",1981,"UT",4,"Utah",1558316,0,18,5,0,107,213,0,927,0,1140,0,0,0,1010
"208",1981,"VT",1,"Vermont",519107,0,4,0,0,10,0,0,534,0,534,0,0,0,520
"209",1981,"VA",3,"Virginia",5492773,0,0,0,0,5376,0,0,0,0,9388,0,9388,95,3917
"210",1981,"WA",4,"Washington",4276545,0,211,38,0,1106,221,0,5115,0,5336,0,0,254,3727
"211",1981,"WV",3,"West Virginia",1949606,0,2,0,0,218,0,0,1565,0,1565,0,0,0,1345
"212",1981,"WI",2,"Wisconsin",4728876,0,135,1,0,1689,186,0,4214,0,4416,0,16,17,2574
"213",1981,"WY",4,"Wyoming",506408,0,24,1,0,25,47,0,540,0,587,0,0,0,537
"214",1981,"ST",7,"State prison total",NA,0,2867,1067,0,159331,24990,0,244660,0,340639,0,70989,2454,174920
"215",1981,"US",5,"US prison total (state+federal)",NA,0,3307,1170,0,168129,29087,0,265487,0,368772,0,74198,5663,190503
"216",1981,"FE",6,"Federal BOP",NA,0,440,103,0,8798,4097,0,20827,0,28133,0,3209,3209,15583
"217",1982,"AL",3,"Alabama",3934103,0,5,4,0,5619,2,0,9230,0,9233,0,1,1,3604
"218",1982,"AK",4,"Alaska",488417,0,472,0,0,94,0,0,0,0,1306,0,1306,14,726
"219",1982,"AZ",4,"Arizona",2968928,0,165,7,0,993,1281,0,4114,0,6069,0,674,717,4187
"220",1982,"AR",3,"Arkansas",2305754,0,1,7,0,2011,10,0,3915,0,3925,0,0,0,1906
"221",1982,"CA",4,"California",25360023,0,184,112,0,12226,8963,0,0,0,34640,0,25677,640,21478
"222",1982,"CO",4,"Colorado",3133628,0,29,6,0,636,762,0,2280,0,3042,0,0,0,2371
"223",1982,"CT",1,"Connecticut",3162343,0,4,4,0,2642,850,0,4986,0,5836,0,0,0,3186
"224",1982,"DE",3,"Delaware",605415,0,0,0,0,1209,18,0,0,0,2062,0,2044,0,853
"225",1982,"DC",3,"District of Columbia",632439,0,0,0,0,3966,0,0,0,0,4081,0,4081,0,115
"226",1982,"FL",3,"Florida",10749845,0,3,2,0,13471,615,0,27215,0,27830,0,0,17,14337
"227",1982,"GA",3,"Georgia",5728254,0,0,0,0,8499,5,0,0,0,14416,0,14411,1,5916
"228",1982,"HI",4,"Hawaii",1012717,0,19,991,0,68,0,0,0,0,1436,0,1436,99,259
"229",1982,"ID",4,"Idaho",981858,0,33,3,0,29,106,0,941,0,1047,0,0,97,885
"230",1982,"IL",2,"Illinois",11408823,0,33,3,0,8654,905,0,13367,0,14293,0,21,926,4677
"231",1982,"IN",2,"Indiana",5450402,0,6,1,0,3067,76,0,8714,0,8790,0,0,0,5716
"232",1982,"IA",2,"Iowa",2870550,0,42,7,0,509,29,0,2800,0,2829,0,0,29,2242
"233",1982,"KS",2,"Kansas",2415537,0,48,9,0,1095,106,0,2972,0,3078,0,0,0,1926
"234",1982,"KY",3,"Kentucky",3694480,0,0,0,0,1119,0,0,4077,0,4077,0,0,0,2958
"235",1982,"LA",3,"Louisiana",4395316,0,0,0,0,7873,5,0,10930,0,10935,0,0,0,3062
"236",1982,"ME",1,"Maine",1144769,0,12,0,0,17,1,0,998,0,999,0,0,0,970
"237",1982,"MD",3,"Maryland",4313319,0,12,0,0,7973,0,0,0,0,11012,0,11012,9,3018
"238",1982,"MA",1,"Massachusetts",5799403,0,4,8,0,1554,290,0,4333,0,4623,0,0,0,3057
"239",1982,"MI",2,"Michigan",9047753,0,58,1,0,8647,167,0,14570,0,15224,0,487,680,5838
"240",1982,"MN",2,"Minnesota",4141438,0,160,0,0,430,67,0,2014,0,2081,0,0,95,1396
"241",1982,"MS",3,"Mississippi",2567730,0,7,0,0,3674,4,0,5285,0,5484,0,195,195,1608
"242",1982,"MO",2,"Missouri",4943727,0,0,0,0,2958,0,0,0,0,7445,0,7445,0,4487
"243",1982,"MT",4,"Montana",814028,0,180,1,0,18,21,0,893,0,914,0,0,4,711
"244",1982,"NE",2,"Nebraska",1584301,0,76,8,0,538,45,0,1664,0,1709,0,0,24,1063
"245",1982,"NV",4,"Nevada",901974,0,14,26,0,649,80,0,2632,0,2712,0,0,0,2023
"246",1982,"NH",1,"New Hampshire",958125,0,1,0,0,7,9,0,436,0,445,0,0,0,437
"247",1982,"NJ",1,"New Jersey",7467789,0,0,11,0,5095,950,0,7241,0,8191,0,0,0,3085
"248",1982,"NM",4,"New Mexico",1394352,0,61,1,0,197,921,0,797,0,1718,0,0,0,1459
"249",1982,"NY",1,"New York",17686905,0,62,79,0,14695,6262,0,21689,0,27951,0,0,0,13115
"250",1982,"NC",3,"North Carolina",6077066,0,403,4,0,8843,0,0,16530,0,16578,0,48,48,7280
"251",1982,"ND",2,"North Dakota",676685,0,41,0,0,7,3,0,319,0,322,0,0,0,274
"252",1982,"OH",2,"Ohio",10737635,0,0,0,0,8322,109,0,17038,0,17317,0,170,0,8995
