"","YEAR","STATEID","STATE","REGION","state_name","Population","CUSGT1M","CUSGT1F","CUSLT1M","CUSLT1F","CUSUNSM","CUSUNSF","CUSTOTM","CUSTOTF","CUSGT1T","CUSLT1T","CUSUNST","CUSTOTT","CNOPRIVM","CNOPRIVF","CWPRIVM","CWPRIVF","JURGT1M","JURGT1F","JURLT1M","JURLT1F","JURUNSM","JURUNSF","JURTOTM","JURTOTF","PVINM","PVINF","PVOTHM","PVOTHF","PVINCLM","PVINCLF","LFM","LFF","LFINCLM","LFINCLF","LFCROWDM","LFCROWDF","LFCRSTM","LFCRSTF","LFCRINCM","LFCRINCF","FEDM","FEDF","OTHSTM","OTHSTF","FACINCLM","FACINCLF","FACROWDM","FACROWDF","CUSLT18M","CUSLT18F","CUSCTZNM","CUSCTZNF"
"37",1978,40,"OK",3,"Oklahoma",2917336,NA,NA,NA,NA,NA,NA,NA,NA,4186,0,0,4186,NA,NA,NA,NA,4010,176,0,0,0,0,4010,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1978,41,"OR",4,"Oregon",2518298,NA,NA,NA,NA,NA,NA,NA,NA,2838,6,0,2844,NA,NA,NA,NA,2751,122,6,0,0,0,2757,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1978,42,"PA",1,"Pennsylvania",11879396,NA,NA,NA,NA,NA,NA,NA,NA,7320,69,74,7463,NA,NA,NA,NA,7507,215,78,14,0,0,7585,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",1978,44,"RI",1,"Rhode Island",951816,NA,NA,NA,NA,NA,NA,NA,NA,508,47,94,649,NA,NA,NA,NA,512,12,45,1,91,3,648,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",1978,45,"SC",3,"South Carolina",3044364,NA,NA,NA,NA,NA,NA,NA,NA,6922,393,45,7360,NA,NA,NA,NA,6847,283,381,18,6,1,7234,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,719,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",1978,46,"SD",2,"South Dakota",688580,NA,NA,NA,NA,NA,NA,NA,NA,520,29,0,549,NA,NA,NA,NA,490,15,24,3,0,0,514,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",1978,47,"TN",3,"Tennessee",4486314,NA,NA,NA,NA,NA,NA,NA,NA,5835,0,15,5850,NA,NA,NA,NA,5574,261,0,0,0,0,5574,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1978,48,"TX",3,"Texas",13500429,NA,NA,NA,NA,NA,NA,NA,NA,24575,0,0,24575,NA,NA,NA,NA,23570,1005,0,0,0,0,23570,1005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",1978,49,"UT",4,"Utah",1367510,NA,NA,NA,NA,NA,NA,NA,NA,872,3,42,917,NA,NA,NA,NA,872,36,3,0,0,0,875,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",1978,50,"VT",1,"Vermont",498109,NA,NA,NA,NA,NA,NA,NA,NA,322,35,57,414,NA,NA,NA,NA,342,9,35,0,53,2,430,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
