"","YEAR","STATEID","STATE","REGION","state_name","Population","RLUNEXPM","RLUNEXPF","RLUNCOMM","RLUNCOMF","RLUNOTHM","RLUNOTHF","RLCOPROM","RLCOPROF","RLCOSUPM","RLCOSUPF","RLCODPM","RLCODPF","RLCOOTHM","RLCOOTHF","RLDEATHM","RLDEATHF","RLAWOLM","RLAWOLF","RLESCAPM","RLESCAPF","RLAWESM","RLAWESF","RLTRANM","RLTRANF","RLBONDM","RLBONDF","RLOTHM","RLOTHF","RLTOTM","RLTOTF"
"64",1979,12,"FL",3,"Florida",9426159,1250,70,4,0,56,3,96,5,1849,104,5657,319,3,0,NA,NA,NA,NA,NA,NA,458,26,0,0,472,30,0,0,9904,558
"65",1979,13,"GA",3,"Georgia",5401384,2098,117,33,2,0,0,35,2,0,0,1541,139,468,33,NA,NA,NA,NA,NA,NA,386,38,52,3,0,0,119,4,4755,339
"66",1979,15,"HI",4,"Hawaii",953306,16,1,0,0,3,1,44,2,0,0,51,3,0,0,NA,NA,NA,NA,NA,NA,23,1,14,0,2,0,5,0,164,8
"67",1979,16,"ID",4,"Idaho",932627,81,2,0,0,2,0,218,15,0,0,223,9,0,0,NA,NA,NA,NA,NA,NA,21,0,34,3,3,1,17,1,599,31
"68",1979,17,"IL",2,"Illinois",11396837,487,1,9,0,70,41,0,0,3101,133,2587,96,2,0,NA,NA,NA,NA,NA,NA,31,1,0,0,46,4,39,0,6442,276
"69",1979,18,"IN",2,"Indiana",5501174,174,17,0,0,0,0,322,66,0,0,1502,42,0,0,NA,NA,NA,NA,NA,NA,55,2,0,0,0,0,0,0,2061,127
"70",1979,19,"IA",2,"Iowa",2915739,241,8,0,0,9,1,126,12,0,0,465,30,1,2,NA,NA,NA,NA,NA,NA,112,15,0,0,37,0,4,0,1004,68
"71",1979,20,"KS",2,"Kansas",2350906,0,0,0,0,0,0,369,37,47,1,1096,59,0,0,NA,NA,NA,NA,NA,NA,44,0,0,0,2,1,0,0,1563,98
"72",1979,21,"KY",3,"Kentucky",3641804,32,4,2,0,0,0,268,33,345,21,1521,77,0,0,NA,NA,NA,NA,NA,NA,94,3,1,0,43,3,0,0,2315,141
"73",1979,22,"LA",3,"Louisiana",4137665,1329,65,8,1,25,0,1,2,0,0,380,22,0,0,NA,NA,NA,NA,NA,NA,90,0,2,1,0,0,3,0,1850,91
"74",1979,23,"ME",1,"Maine",1122563,248,1,0,0,0,0,77,0,0,0,102,0,0,0,NA,NA,NA,NA,NA,NA,28,0,4,0,14,0,2,4,477,5
"75",1979,24,"MD",3,"Maryland",4191160,211,10,291,5,0,0,0,0,493,22,2650,163,0,0,NA,NA,NA,NA,NA,NA,585,24,321,6,467,83,0,0,5030,313
"76",1979,25,"MA",1,"Massachusetts",5738404,91,37,18,2,0,0,0,0,0,0,862,55,38,1,NA,NA,NA,NA,NA,NA,154,14,201,3,0,0,27,12,1399,124
"77",1979,26,"MI",2,"Michigan",9266268,428,16,0,0,0,0,0,0,0,0,4456,262,111,9,NA,NA,NA,NA,NA,NA,970,128,2,7,0,0,82,3,6064,425
"78",1979,27,"MN",2,"Minnesota",4050316,67,5,20,1,0,0,0,0,0,0,865,27,0,0,NA,NA,NA,NA,NA,NA,35,12,0,0,0,0,200,31,1193,77
"79",1979,28,"MS",3,"Mississippi",2507069,301,9,0,0,0,0,135,3,0,0,754,34,350,28,NA,NA,NA,NA,NA,NA,47,0,0,0,0,0,0,0,1591,74
"80",1979,29,"MO",2,"Missouri",4912430,1382,56,0,0,0,0,0,0,0,0,938,43,0,0,NA,NA,NA,NA,NA,NA,171,2,0,0,0,0,94,0,2596,101
"81",1979,30,"MT",4,"Montana",787305,36,0,0,0,9,0,27,1,0,0,206,17,0,2,NA,NA,NA,NA,NA,NA,8,3,0,0,1,0,0,0,289,23
"82",1979,31,"NE",2,"Nebraska",1567344,184,6,0,0,0,0,0,0,0,0,363,36,0,0,NA,NA,NA,NA,NA,NA,24,4,0,0,6,1,0,0,577,47
"83",1979,32,"NV",4,"Nevada",765367,152,5,0,0,6,0,0,0,0,0,489,51,0,0,NA,NA,NA,NA,NA,NA,12,0,0,0,4,1,0,0,668,57
"84",1979,33,"NH",1,"New Hampshire",909074,6,0,0,0,14,1,0,0,0,0,143,3,0,0,NA,NA,NA,NA,NA,NA,9,0,1,0,3,0,0,0,176,4
"85",1979,34,"NJ",1,"New Jersey",7366512,144,5,0,0,0,0,0,0,0,0,3165,142,0,0,NA,NA,NA,NA,NA,NA,83,5,0,0,90,9,0,0,3488,163
"86",1979,35,"NM",4,"New Mexico",1284722,111,11,0,0,5,1,20,1,0,0,610,25,0,0,NA,NA,NA,NA,NA,NA,62,18,0,0,16,2,0,0,827,58
"87",1979,36,"NY",1,"New York",17583838,345,4,0,0,0,0,0,0,2325,47,5146,223,0,0,NA,NA,NA,NA,NA,NA,74,2,380,18,203,5,14,0,8517,299
"88",1979,37,"NC",3,"North Carolina",5823491,1052,29,0,0,12,1,0,0,0,0,5175,322,0,0,NA,NA,NA,NA,NA,NA,789,25,0,0,90,5,0,0,7137,382
"89",1979,38,"ND",2,"North Dakota",652896,10,0,0,0,0,0,9,0,0,0,115,4,8,0,NA,NA,NA,NA,NA,NA,2,0,0,0,1,0,0,0,146,4
"90",1979,39,"OH",2,"Ohio",10798298,25,3,0,0,13,1,1115,165,0,0,5212,312,817,91,NA,NA,NA,NA,NA,NA,27,0,130,3,0,0,0,0,7366,577
