"","YEAR","STATEID","STATE","REGION","state_name","Population","WHITEM","WHITEF","BLACKM","BLACKF","HISPM","HISPF","AIANM","AIANF","ASIANM","ASIANF","NHPIM","NHPIF","APIM","APIF","TWORACEM","TWORACEF","ADDRACEM","ADDRACEF","UNKRACEM","UNKRACEF","TOTRACEM","TOTRACEF","NOTHISPM","NOTHISPF","UNKHISPM","UNKHISPF","TOTHCATM","TOTHCATF"
"62",1979,10,"DE",3,"Delaware",594984,541,19,813,45,NA,NA,1,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,1355,64,NA,NA,1355,64,NA,NA
"63",1979,11,"DC",3,"District of Columbia",650016,87,3,2812,71,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2899,74,NA,NA,2899,74,NA,NA
"64",1979,12,"FL",3,"Florida",9426159,9735,315,9564,513,NA,NA,0,0,NA,NA,NA,NA,6,0,NA,NA,NA,NA,0,0,19305,828,NA,NA,19305,828,NA,NA
"65",1979,13,"GA",3,"Georgia",5401384,4695,232,6839,326,2,NA,1,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,4,0,11539,559,NA,NA,11537,559,NA,NA
"66",1979,15,"HI",4,"Hawaii",953306,84,8,17,2,NA,NA,0,0,NA,NA,NA,NA,367,9,NA,NA,NA,NA,322,28,790,47,NA,NA,790,47,NA,NA
"67",1979,16,"ID",4,"Idaho",932627,765,26,16,4,81,1,13,4,NA,NA,NA,NA,2,0,NA,NA,NA,NA,0,0,796,34,715,33,0,0,NA,NA
"68",1979,17,"IL",2,"Illinois",11396837,4552,107,6398,245,311,6,21,8,NA,NA,NA,NA,30,0,NA,NA,NA,NA,0,0,11001,360,10690,354,0,0,NA,NA
"69",1979,18,"IN",2,"Indiana",5501174,4002,106,1467,86,49,0,5,0,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0,0,5475,192,5426,192,0,0,NA,NA
"70",1979,19,"IA",2,"Iowa",2915739,1591,62,341,8,29,0,30,3,NA,NA,NA,NA,3,0,NA,NA,NA,NA,51,10,2016,83,1936,73,51,10,NA,NA
"71",1979,20,"KS",2,"Kansas",2350906,1417,46,757,33,71,0,30,3,NA,NA,NA,NA,4,0,NA,NA,NA,NA,0,0,2208,82,2137,82,0,0,NA,NA
"72",1979,21,"KY",3,"Kentucky",3641804,2528,94,1022,47,6,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,3550,141,3544,141,0,0,NA,NA
"73",1979,22,"LA",3,"Louisiana",4137665,2153,70,5229,166,3,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,7382,236,7379,236,0,0,NA,NA
"74",1979,23,"ME",1,"Maine",1122563,739,17,8,0,0,0,11,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,758,18,758,18,0,0,NA,NA
"75",1979,24,"MD",3,"Maryland",4191160,1757,51,5855,171,NA,NA,14,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,12,0,7638,222,NA,NA,7638,222,NA,NA
"76",1979,25,"MA",1,"Massachusetts",5738404,1804,50,1031,37,145,5,1,0,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0,0,2837,87,2692,82,0,0,NA,NA
"77",1979,26,"MI",2,"Michigan",9266268,5338,114,7800,343,226,3,58,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1177,168,14374,628,13220,460,928,165,NA,NA
"78",1979,27,"MN",2,"Minnesota",4050316,1480,48,345,19,27,0,164,10,NA,NA,NA,NA,0,0,NA,NA,NA,NA,28,0,2017,77,1990,77,0,0,NA,NA
"79",1979,28,"MS",3,"Mississippi",2507069,1121,55,2139,78,2,0,5,0,NA,NA,NA,NA,1,0,NA,NA,NA,NA,59,0,3325,133,3266,133,57,0,NA,NA
