"","YEAR","STATEID","STATE","REGION","state_name","Population","ADCRNEWM","ADCRNEWF","ADCRNOM","ADCRNOF","ADTRANSM","ADTRANSF","ADAWOLM","ADAWOLF","ADESCAPM","ADESCAPF","ADAWESM","ADAWESF","ADRETM","ADRETF","ADOTHM","ADOTHF","ADTOTM","ADTOTF"
"110",1980,2,"AK",4,"Alaska",418488,0,0,0,0,23,1,NA,NA,NA,NA,8,0,0,0,22,1,390,11
"111",1980,4,"AZ",4,"Arizona",2810127,59,9,57,5,26,9,NA,NA,NA,NA,140,19,0,0,0,0,2101,175
"112",1980,5,"AR",3,"Arkansas",2293195,0,0,0,0,0,0,NA,NA,NA,NA,18,0,0,0,0,0,2210,119
"113",1980,6,"CA",4,"California",24285937,0,0,0,0,0,0,NA,NA,NA,NA,141,4,0,0,0,0,13699,788
"114",1980,8,"CO",4,"Colorado",2977895,3,0,17,1,34,1,NA,NA,NA,NA,173,6,7,0,0,0,1490,66
"115",1980,9,"CT",1,"Connecticut",3128839,583,34,0,7,47,5,NA,NA,NA,NA,57,19,0,0,0,0,2918,241
"116",1980,10,"DE",3,"Delaware",595971,0,0,0,0,15,0,NA,NA,NA,NA,16,0,0,0,5,0,408,21
"117",1980,11,"DC",3,"District of Columbia",636894,61,0,9,0,728,50,NA,NA,NA,NA,190,13,0,0,4,0,2185,142
"118",1980,12,"FL",3,"Florida",10192778,189,5,226,3,1,0,NA,NA,NA,NA,509,14,0,0,0,0,9770,465
"119",1980,13,"GA",3,"Georgia",5568343,0,0,0,0,0,0,NA,NA,NA,NA,318,41,0,0,14,1,6468,425
"120",1980,15,"HI",4,"Hawaii",978174,19,0,0,0,0,0,NA,NA,NA,NA,23,0,0,0,0,0,236,10
"121",1980,16,"ID",4,"Idaho",962203,4,1,13,0,0,0,NA,NA,NA,NA,12,0,1,0,13,2,581,31
"122",1980,17,"IL",2,"Illinois",11443461,11,2,570,0,0,0,NA,NA,NA,NA,42,1,0,2,0,4,7776,292
"123",1980,18,"IN",2,"Indiana",5480425,245,5,0,0,0,0,NA,NA,NA,NA,78,3,0,0,0,0,3528,198
"124",1980,19,"IA",2,"Iowa",2907975,10,1,42,2,0,0,NA,NA,NA,NA,130,16,22,0,1,0,1205,88
"125",1980,20,"KS",2,"Kansas",2384859,64,3,90,18,0,0,NA,NA,NA,NA,46,0,0,0,0,0,1566,108
"126",1980,21,"KY",3,"Kentucky",3670385,0,0,47,3,0,1,NA,NA,NA,NA,111,2,17,0,3,0,2864,138
"127",1980,22,"LA",3,"Louisiana",4283298,0,0,0,0,7,0,NA,NA,NA,NA,106,3,0,0,0,0,3009,157
"128",1980,23,"ME",1,"Maine",1133021,2,0,0,0,73,0,NA,NA,NA,NA,1,0,10,0,7,4,556,8
"129",1980,24,"MD",3,"Maryland",4261908,0,0,0,0,240,6,NA,NA,NA,NA,512,23,0,0,0,0,5012,295
"130",1980,25,"MA",1,"Massachusetts",5768683,0,0,0,0,95,3,NA,NA,NA,NA,143,16,0,0,0,0,1586,154
"131",1980,26,"MI",2,"Michigan",9209284,0,0,0,0,55,18,NA,NA,NA,NA,991,132,0,0,0,0,6197,487
"132",1980,27,"MN",2,"Minnesota",4111674,0,0,0,0,0,0,NA,NA,NA,NA,34,12,0,0,0,0,1114,49
"133",1980,28,"MS",3,"Mississippi",2539051,16,0,21,0,0,0,NA,NA,NA,NA,49,1,0,0,0,0,1857,73
"134",1980,29,"MO",2,"Missouri",4932079,0,0,5,0,0,0,NA,NA,NA,NA,84,9,0,0,133,2,2973,139
"135",1980,30,"MT",4,"Montana",795317,0,0,7,0,0,0,NA,NA,NA,NA,18,0,2,0,0,0,389,22
"136",1980,31,"NE",2,"Nebraska",1578528,0,0,0,0,0,0,NA,NA,NA,NA,8,3,2,0,86,0,784,37
"137",1980,32,"NV",4,"Nevada",847639,0,0,0,0,0,0,NA,NA,NA,NA,35,0,0,0,0,0,1014,73
"138",1980,33,"NH",1,"New Hampshire",936644,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,0,0,0,211,5
"139",1980,34,"NJ",1,"New Jersey",7407475,0,0,0,0,0,0,NA,NA,NA,NA,66,6,36,0,0,0,3756,179
"140",1980,35,"NM",4,"New Mexico",1332709,15,1,8,0,4,0,NA,NA,NA,NA,26,1,0,0,0,0,636,31
"141",1980,36,"NY",1,"New York",17567729,211,0,472,5,395,21,NA,NA,NA,NA,127,7,55,3,0,0,9919,346
"142",1980,37,"NC",3,"North Carolina",5956661,0,0,0,0,0,0,NA,NA,NA,NA,723,27,0,0,36,8,7941,413
"143",1980,38,"ND",2,"North Dakota",659524,0,0,4,0,0,0,NA,NA,NA,NA,2,0,1,0,0,0,191,4
"144",1980,39,"OH",2,"Ohio",10788324,0,0,243,23,94,0,NA,NA,NA,NA,36,4,0,0,0,0,8692,675
"145",1980,40,"OK",3,"Oklahoma",3096157,20,2,40,2,0,0,NA,NA,NA,NA,117,14,3,0,0,0,2444,219
"146",1980,41,"OR",4,"Oregon",2667984,0,0,0,0,0,0,NA,NA,NA,NA,287,13,0,1,0,0,2360,103
"147",1980,42,"PA",1,"Pennsylvania",11858571,0,0,0,0,227,21,NA,NA,NA,NA,62,14,15,1,194,0,4053,201
"148",1980,44,"RI",1,"Rhode Island",953007,7,0,13,1,1,0,NA,NA,NA,NA,21,1,4,0,1,0,316,10
"149",1980,45,"SC",3,"South Carolina",3179235,155,3,71,5,0,0,NA,NA,NA,NA,290,4,23,3,0,0,4031,205
"150",1980,46,"SD",2,"South Dakota",689569,0,0,5,0,0,0,NA,NA,NA,NA,13,0,3,0,0,0,371,18
"151",1980,47,"TN",3,"Tennessee",4627667,0,0,70,1,9,0,NA,NA,NA,NA,375,10,0,0,0,0,3461,259
